StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
9,0,201501,3.64,44.9,0.72,1.11,-0.46,0.32,4,709,-0.26,0.28,0.63,0.42,-0.07,0.3,1.54,34.1,55.8
9,0,201502,4.49,43.2,0.79,1.14,0.43,0.47,0,709,0.02,-0.26,0.14,0.7,-0.08,0.39,1.05,31.9,54.6
9,0,201503,2.81,58.8,-0.83,-0.83,-2.49,-0.83,30,306,-0.99,-0.71,-0.79,0.02,-0.31,0.15,0.94,47.5,70.1
9,0,201504,6.2,66.8,-0.2,-0.2,1.64,0.55,67,97,1.26,0.13,0.12,0.45,0.33,-0.03,1.07,56.4,77.3
9,0,201505,2.17,72.4,-0.86,-0.86,-2.04,-0.86,194,21,-0.85,0.4,-0.28,-0.12,0.3,-0.29,0.92,59.9,84.9
9,0,201506,4.25,79.3,-1.04,-1.04,-0.83,-1.04,381,0,-0.06,-0.69,0.25,-0.41,0.08,-0.23,0.56,68.2,90.4
9,0,201507,4.65,81.5,-1.53,-1.53,-1.78,-1.53,464,0,-0.42,-0.39,-0.84,-0.44,-0.03,-0.11,0.04,70.8,92.2
9,0,201508,5.78,79.5,0.15,-1.22,0.45,-0.91,396,0,0.6,0.09,-0.01,-0.28,-0.1,0.26,-0.15,69.4,89.6
9,0,201509,3.75,73.8,0.02,-1.21,-0.33,-0.99,218,9,0.09,0.41,0.02,0.13,-0.35,0.06,-0.02,64.7,83
9,0,201510,3.23,64.8,0.09,-1.01,0.21,-0.61,58,130,0.39,0.19,0.48,-0.26,-0.18,0.14,0.21,54.2,75.5
9,0,201511,6.28,59.8,1.04,1.04,2.86,1.04,24,262,1.7,1.36,1.1,0.85,0.42,0.42,0.49,49.8,69.7
9,0,201512,8.49,58.9,2.16,2.16,3.69,2.16,36,307,2.06,2.36,2.02,1.64,1.42,0.87,0.82,48.8,68.9
9,0,201601,3.78,44.4,-0.1,1.84,-0.29,1.64,4,729,-0.18,1.36,1.93,1.61,1.04,0.86,0.79,33.8,55
9,0,201602,4.87,50,0.11,1.77,0.34,1.65,3,502,0.23,-0.06,1.31,1.51,1.3,0.93,0.88,38.2,61.7
9,0,201603,3.03,60.9,-0.85,0.74,-2.54,-0.6,45,247,-0.87,-0.5,-0.59,1.15,0.99,0.94,0.76,48.5,73.4
9,0,201604,4.16,63.9,-0.74,0.68,0.05,-0.58,37,130,0.31,-0.49,-0.26,1.11,1.13,0.67,0.47,51.4,76.3
9,0,201605,2.78,70.8,-1.03,-1.03,-1.09,-1.03,155,34,-0.4,-0.16,-0.63,0.33,0.85,0.73,0.34,58.6,82.9
9,0,201606,4.02,79.7,-1.22,-1.22,-0.88,-1.22,398,0,-0.22,-0.51,-0.3,-0.59,0.79,0.7,0.36,67.9,91.5
9,0,201607,2.75,82.8,-2.38,-2.38,-3.88,-2.38,509,0,-2.55,-1.49,-1.37,-1.04,0.32,0.44,0.23,71.3,94.2
9,0,201608,4,81.6,-2.94,-2.94,-2.41,-2.94,476,0,-0.51,-1.82,-1.62,-1.42,-0.33,0.23,0.28,71.2,92
9,0,201609,3.49,77.5,-3.19,-3.19,-1.66,-3.19,340,0,-0.06,-0.55,-1.67,-1.12,-1.16,0.16,0.11,66,88.9
9,0,201610,1.39,67.8,-3.68,-3.68,-2.46,-3.68,106,72,-0.8,-0.68,-0.99,-1.86,-1.33,-0.09,-0.01,54.3,81.2
9,0,201611,0.95,58,-4.31,-4.31,-3.02,-4.31,16,288,-1.45,-1.49,-1.17,-2.57,-1.97,-0.87,-0.37,43.6,72.3
9,0,201612,5.68,52.1,-3.75,-3.75,0.33,-3.57,8,519,0.92,-0.02,-0.42,-1.5,-1.24,-1.35,-0.22,41.6,62.6
9,0,201701,7.72,53,-2.44,-2.44,2.8,-1.13,24,479,1.69,1.69,0.9,0.18,-0.65,-0.69,0.1,42.1,64
9,0,201702,2.07,56.5,-3.23,-3.23,-3.14,-3.07,20,336,-1.36,0.39,0.77,-0.13,-0.96,-1.15,-0.15,43.3,69.7
9,0,201703,2.12,58,-3.91,-3.91,-3.02,-3.91,25,317,-1.37,-1.85,-0.52,-0.65,-1.32,-1.24,-0.17,45,70.9
9,0,201704,3.71,67.5,-3.82,-3.82,-0.94,-3.82,87,64,0.07,-0.98,-1.48,-0.39,-0.77,-1.32,-0.43,54.6,80.4
9,0,201705,5.64,71.4,0.64,-2.78,1.93,-1.97,167,31,1.2,0.78,-0.19,0.3,-0.3,-0.87,-0.09,59.4,83.4
9,0,201706,6.37,76.5,1.47,-1.6,2.68,0.27,297,2,1.16,1.51,1.23,0.37,0.02,-0.57,0.11,67.2,85.8
9,0,201707,4.84,80.6,1.21,-1.54,-0.33,0.15,438,0,-0.28,0.54,1.02,-0.4,0.16,-0.25,0.12,70.5,90.7
9,0,201708,4.53,79.3,1.09,-1.38,0.02,0.26,386,0,-0.15,-0.36,0.34,0,0.42,-0.14,-0.02,69.8,88.8
9,0,201709,4.98,74.1,1.49,-0.73,1.51,1.32,209,12,0.7,0.4,0.08,0.82,0.33,0.04,0.09,63,85.1
9,0,201710,3.6,67,1.67,1.67,1.02,1.67,84,103,0.59,0.8,0.6,1.09,-0.09,0.36,0.14,55.5,78.5
9,0,201711,1,56.5,0.87,0.87,-1.88,-0.14,9,329,-1.38,-0.27,0.13,0.29,0.03,0.38,-0.4,44.1,69
9,0,201712,3.03,49.7,-0.94,-0.94,-1.14,-0.94,4,570,-0.54,-1.19,-0.56,-0.41,0.34,0.03,-0.97,39.8,59.5
