StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
14,0,201501,0.37,32.1,-0.39,-0.91,-0.75,-0.03,0,1020,-0.51,0.33,-0.5,0.04,0.15,-0.33,-0.12,19.4,44.8
14,0,201502,0.83,31.2,-0.37,-0.83,-0.06,0,0,985,0.03,-0.4,0.18,0.04,0.63,-0.31,-0.23,18.4,44
14,0,201503,0.49,46.8,-1.12,-1.54,-2.37,-1.06,9,575,-1.41,-1.04,-1.19,-0.49,-0.6,-0.32,-0.33,31.8,61.7
14,0,201504,2.76,56.4,-1.03,-1.4,-0.07,-0.91,19,248,0.34,-0.48,-0.51,-0.75,-0.25,-0.08,-0.27,43.1,69.6
14,0,201505,8.28,61.7,1.87,1.87,5.61,1.87,69,134,2.2,2.1,1.42,1.28,1.05,1.25,0.39,51.1,72.3
14,0,201506,3.34,75.8,1.55,1.55,-0.4,1.28,339,5,-0.34,1.42,1.41,0.77,0.65,0.37,0.51,63.8,87.8
14,0,201507,4.93,78.9,2.2,2.2,2.44,2.2,438,1,0.99,0.41,1.56,1.14,0.83,0.91,0.54,67,90.8
14,0,201508,2.95,75.2,2.26,2.26,0.87,2.26,321,10,-0.09,0.68,0.3,1.05,0.99,0.87,0.28,62.6,87.7
14,0,201509,1.58,74.2,1.4,1.4,-1.88,0.51,287,14,-0.95,-0.77,0.15,0.99,0.6,0.55,0.14,61.3,87
14,0,201510,1.79,59.2,1.08,1.08,-0.52,-0.06,33,203,-0.06,-0.76,-0.71,0.86,0.57,0.37,0,46.4,72.1
14,0,201511,3.1,46.5,1.71,1.71,2.21,1.44,0,492,1.53,1,0.27,0.31,0.94,0.9,0.24,34.5,58.5
14,0,201512,2.36,37.6,2.45,2.45,2.75,2.45,0,801,1.77,2.13,1.59,1.01,1.57,1.12,0.5,27.1,48.2
14,0,201601,0.48,32,2.27,2.27,0.22,2.27,0,1038,-0.21,1.51,1.85,0.63,1.5,1.15,0.54,21.2,42.8
14,0,201602,0.55,40.8,1.89,1.89,-0.45,1.62,0,664,-0.5,-0.65,0.91,0.59,0.5,1.11,0.51,27.3,54.2
14,0,201603,0.77,49.7,1.11,1.11,-1.75,0.01,19,462,-0.86,-1.04,-1.07,0.74,0.54,1.18,0.55,34.5,64.8
14,0,201604,5.34,56.3,2.27,2.27,3.82,2.27,21,237,1.94,1.11,0.88,1.69,0.92,1.65,1.14,43.1,69.5
14,0,201605,4.58,61.6,2.66,2.66,1.88,2.66,63,141,0.62,1.68,1.14,1.28,1.17,0.98,1.57,49.7,73.5
14,0,201606,2.3,77.5,1.82,1.82,-1.71,1.03,397,1,-1.08,-0.33,0.69,0.14,0.86,0.76,0.79,64.4,90.6
14,0,201607,5.05,79.7,2.29,2.29,1.97,2.27,462,0,1.06,0.06,0.27,0.61,1.26,0.79,1.12,68,91.4
14,0,201608,4.9,76.4,3,3,2.86,3,388,4,1.37,1.52,0.63,1.09,1.21,1.19,1.33,65.2,87.7
14,0,201609,4.11,70.8,3.26,3.26,1.69,3.26,224,26,1.06,1.65,1.67,1.52,1.11,1.53,1.37,58.3,83.3
14,0,201610,1.44,61.5,2.6,2.6,-0.96,2.15,60,149,-0.4,0.5,1.12,0.75,0.99,1.48,1.21,47,76
14,0,201611,0.47,49.9,1.71,1.71,-1.88,0.46,4,418,-0.72,-0.87,0.05,0.45,0.88,1.01,1.24,36,63.8
14,0,201612,0.69,29.8,1.41,1.41,-0.35,0.04,0,1056,-0.03,-0.76,-0.88,1,1.09,0.71,1.35,17.6,42
14,0,201701,1.56,33,1.76,1.76,1.48,0.95,0,956,1.59,0.94,0.09,0.98,0.68,0.92,1.54,22.4,43.6
14,0,201702,0.24,43.2,0.98,0.98,-1.8,-0.47,7,595,-1.27,0.39,0.13,0.02,0.43,0.87,1.47,28.4,57.9
14,0,201703,2.78,49,1.01,1.01,0.41,-0.24,16,492,1.1,0.49,0.98,0.01,1.23,1.3,1.86,35.4,62.5
14,0,201704,5.08,55.6,2.1,2.1,3.56,1.86,16,266,1.81,1.83,1.51,1.15,1.51,1.2,2.14,44,67.3
14,0,201705,4.83,62.2,2.58,2.58,2.09,2.58,76,126,0.75,1.68,1.79,1.59,1.34,1.32,1.61,49.3,75.1
14,0,201706,3.2,75.1,2.16,2.16,-0.46,1.9,308,8,-0.44,0.16,1,1.24,0.61,1.5,1.57,61.9,88.3
14,0,201707,2.38,80.1,1.79,1.79,-0.43,1.29,474,0,-0.56,-0.69,-0.2,0.59,0.5,0.96,1.15,67.5,92.8
14,0,201708,3.55,73.1,1.97,1.97,1.07,1.85,271,17,0.39,-0.22,-0.43,0.82,0.77,0.66,1.21,61.1,85.1
14,0,201709,2.39,70.6,1.51,1.51,-0.75,1.01,218,28,-0.18,0.07,-0.3,0.44,0.7,0.3,1.23,57.2,83.9
14,0,201710,2.72,57.7,1.64,1.64,0.83,1.42,27,218,0.69,0.27,0.41,-0.01,0.61,0.55,1.32,44.2,71.1
14,0,201711,0.16,45.2,0.84,0.84,-1.88,-0.25,0,579,-1.26,-0.18,-0.33,-0.56,0.49,0.48,0.96,32.7,57.7
14,0,201712,0.11,34.1,-1.15,-1.15,-1.76,-1.15,0,931,-2.03,-1.99,-0.63,-0.66,0.1,0.37,0.73,21.2,47
