StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
20,0,201501,1.28,16.6,-0.31,3.25,-0.92,2.78,0,1410,-0.78,-0.81,0.03,0.89,1.34,1.38,2.32,8.5,24.7
20,0,201502,0.97,8,-0.67,2.53,-1.16,1.58,0,1503,-0.93,-1.19,-1.1,0.52,0.96,1.19,1.94,-2.6,18.6
20,0,201503,0.87,28.6,-1.36,1.51,-2.3,-0.31,0,1039,-1.52,-1.77,-2.07,-0.23,0.29,0.94,1.87,17.9,39.3
20,0,201504,2.46,43.2,-1.39,1.19,-0.49,-0.73,0,552,-0.09,-1.12,-1.4,-0.87,0.11,0.5,0.95,31.8,54.7
20,0,201505,4.14,57.2,-0.85,1.46,1.18,0.01,62,186,1.01,0.63,-0.22,-0.83,0.3,0.65,1.09,45.1,69.4
20,0,201506,4.07,62.5,-0.26,1.81,1.5,0.85,93,68,0.82,1.24,0.88,-0.33,0.39,0.71,1.07,51.2,73.8
20,0,201507,2.49,67.9,-0.32,1.54,-0.25,0.51,157,17,-0.64,0.16,0.7,-0.42,-0.32,0.42,0.83,56,79.7
20,0,201508,3.31,66.9,-0.23,1.44,0.18,0.48,149,29,0.23,-0.3,0.16,-0.11,-0.58,0.34,0.92,56.7,77
20,0,201509,2.91,64.6,-0.84,0.66,-1.9,-0.76,97,50,-0.31,-0.1,-0.43,0.27,-0.65,0.09,1.22,53.7,75.5
20,0,201510,2.46,48.9,-1.05,-1.05,-0.88,-1.05,3,417,-0.2,-0.47,-0.28,0.18,-0.49,-0.4,0.9,39.4,58.3
20,0,201511,3.06,41.3,-1.25,-1.25,-0.92,-1.25,0,634,0.55,0.16,-0.11,-0.01,-0.14,-0.56,0.79,32.1,50.5
20,0,201512,3.73,35.6,0.87,0.87,2.61,0.87,0,815,2.04,1.7,1.05,0.36,0.83,0.06,1.23,29.7,41.5
20,0,201601,1.73,22.3,0.78,0.78,0.02,0.78,0,1238,-0.05,1.44,1.37,0.52,0.91,0.2,1.07,15.8,28.8
20,0,201602,1.87,25.3,0.97,0.97,0.81,0.97,0,1020,0.62,0.29,1.41,0.63,0.64,0.47,1.14,17.4,33.3
20,0,201603,3.65,36.1,1.74,1.74,2.61,1.74,0,778,1.95,1.81,1.35,1.84,0.92,1.38,1.7,26.7,45.4
20,0,201604,2.8,40.8,1.79,1.79,0.69,1.79,0,621,0.27,1.41,1.41,1.98,1.18,1.48,1.43,30.4,51.3
20,0,201605,2.63,55.4,-0.36,1.25,-1.07,0.66,32,251,-0.48,-0.2,0.8,1.39,0.93,0.91,1.15,42.9,68
20,0,201606,2.46,64.7,-0.94,-0.94,-1.86,-0.94,126,43,-0.81,-0.95,-0.64,0.27,0.84,0.42,0.72,52.4,77
20,0,201607,3.92,70.3,0.34,0.34,1.03,-0.5,251,4,0.96,0.02,-0.33,0.66,1.33,0.83,0.82,58.9,81.7
20,0,201608,5.04,70.8,1.07,1.07,2.29,1.07,266,6,1.84,2.07,1.31,1.65,1.98,1.45,1.17,60.1,81.4
20,0,201609,3.96,63.5,0.96,0.96,0,0.86,85,61,0.59,1.54,1.8,0.92,1.68,1.88,1.26,53.3,73.7
20,0,201610,3.46,51.6,1.08,1.08,0.65,1.08,9,349,0.62,0.77,1.56,1.13,1.72,2,1.08,42.2,60.9
20,0,201611,2.04,42.6,-0.57,-0.57,-1.71,-0.57,0,616,-0.58,0.15,0.41,1.06,1.38,1.77,0.83,33.6,51.7
20,0,201612,2.3,25,0.22,0.22,0.66,-0.29,0,1175,0.42,-0.21,0.21,1.45,0.82,1.39,1.03,19.1,31
20,0,201701,2.78,25.2,0.93,0.93,2.21,0.93,0,1129,1.25,1.12,0.41,1.5,1.19,1.8,1.35,19.2,31.4
20,0,201702,2.02,29.9,1.22,1.22,1.14,1.22,0,861,0.83,1.34,1.24,1.02,1.75,1.95,1.6,21.3,38.4
20,0,201703,2.94,30.6,1.75,1.75,1.97,1.75,0,954,1.13,1.32,1.65,1.31,2.18,1.55,2.23,22.1,39.1
20,0,201704,4.39,47.2,2.32,2.32,2.24,2.32,0,419,1.67,2.05,2.01,1.79,2.44,2.08,3.09,36.3,58
20,0,201705,3.36,53,2.32,2.32,0.72,2.32,22,298,0.28,1.36,1.77,1.99,1.78,2.17,3.09,42,64
20,0,201706,4.72,65.2,2.79,2.79,2.13,2.79,134,39,1.38,1.15,1.78,2.58,2.23,2.78,2.63,53.8,76.6
20,0,201707,2.74,68.4,2.56,2.56,0.17,2.56,199,11,-0.35,0.84,0.78,2.57,1.99,2.5,2.76,57.2,79.7
20,0,201708,3.5,65.2,2.62,2.62,0.96,2.62,122,42,0.41,0.04,0.94,2.6,2.4,2.16,2.43,54.7,75.7
20,0,201709,1.57,62.6,1.16,1.16,-3.57,-0.42,65,80,-1.66,-0.88,-0.94,0.67,1.66,1.38,2.13,50.4,74.7
20,0,201710,6.63,52.4,2.73,2.73,5.08,2.73,11,322,2.55,1.23,1.2,1.66,2.52,2.2,2.92,42.6,62.2
20,0,201711,2.74,34.5,3.11,3.11,1.99,3.11,0,823,0.2,2.29,1.12,1.52,2.42,2.51,2.59,27.2,41.7
20,0,201712,1.84,21.3,2.83,2.83,0.12,2.82,0,1261,-0.21,-0.02,2.15,0.78,1.94,2.49,3.09,14.2,28.4
