StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
24,0,201501,1.18,24.7,0.65,1.86,0.12,1.73,0,1197,-0.11,-0.03,0.56,1.38,0.56,1.11,1.23,14.8,34.6
24,0,201502,0.9,26.9,0.61,1.7,0.09,1.54,0,997,-0.31,-0.36,-0.24,-0.1,0.82,0.77,1.29,16.2,37.6
24,0,201503,0.99,39.5,-0.64,0.89,-1.92,-0.19,0,802,-0.7,-0.78,-0.69,-0.14,0.6,0.32,1.28,26.4,52.6
24,0,201504,1.08,42.8,-1.07,-1.07,-1.5,-1.07,0,701,-0.86,-1.19,-1.22,-0.25,0.78,0.16,1.14,29.2,56.5
24,0,201505,2.43,49.6,-0.9,-0.9,0.2,-0.66,0,501,0.1,-0.37,-0.63,-0.68,-0.51,0.38,0.65,37.4,61.7
24,0,201506,1.77,63.8,-1.74,-1.74,-2.82,-1.74,59,128,-1.04,-0.73,-1,-1.23,-0.9,-0.23,0.29,49.5,78.2
24,0,201507,1.88,66.2,-1.72,-1.72,-0.45,-1.72,78,97,0.6,-0.48,-0.4,-0.91,-0.5,0.3,0.5,51.7,80.8
24,0,201508,1.01,65.9,-2.07,-2.07,-1.6,-2.07,75,93,-0.32,0.14,-0.63,-0.9,-0.95,-0.78,0.37,50.1,81.7
24,0,201509,1.29,57.3,-2.21,-2.21,-1.05,-2.21,21,295,-0.09,-0.34,0.05,-0.78,-1.03,-0.78,0,42.6,71.9
24,0,201510,1.4,48,-2.19,-2.19,-0.63,-2.19,0,537,0.25,-0.01,-0.22,-0.51,-0.94,-0.61,0.07,35.6,60.4
24,0,201511,1.34,30,-1.99,-1.99,-0.09,-1.97,0,1074,0.19,0.19,0.01,-0.54,-0.78,-0.86,0.19,19.9,40
24,0,201512,1.61,23.6,-1.71,-1.71,0.23,-1.51,0,1270,0.67,0.48,0.47,0.28,-0.49,-0.74,0.2,15,32.3
24,0,201601,0.91,23.4,-1.98,-1.98,-1.33,-1.98,0,1235,-0.72,0.02,0.08,-0.17,-0.44,-0.82,0.16,14.8,32.1
